=== player 1: 1 | player 2: 0 | Draws: 0 ===
=== player 1: 64 | player 2: 3 | Draws: 0 ===
=== player 1: 65 | player 2: 3 | Draws: 0 ===
=== player 1: 66 | player 2: 3 | Draws: 0 ===
=== player 1: 67 | player 2: 3 | Draws: 0 ===
=== player 1: 68 | player 2: 3 | Draws: 0 ===
=== player 1: 69 | player 2: 3 | Draws: 0 ===
=== player 1: 70 | player 2: 3 | Draws: 0 ===
=== player 1: 71 | player 2: 3 | Draws: 0 ===
=== player 1: 72 | player 2: 3 | Draws: 0 ===
=== player 1: 73 | player 2: 3 | Draws: 0 ===
=== player 1: 73 | player 2: 4 | Draws: 0 ===
=== player 1: 74 | player 2: 4 | Draws: 0 ===
=== player 1: 75 | player 2: 4 | Draws: 0 ===
=== player 1: 76 | player 2: 4 | Draws: 0 ===
=== player 1: 77 | player 2: 4 | Draws: 0 ===
=== player 1: 78 | player 2: 4 | Draws: 0 ===
=== player 1: 79 | player 2: 4 | Draws: 0 ===
=== player 1: 80 | player 2: 4 | Draws: 0 ===
=== player 1: 81 | player 2: 4 | Draws: 0 ===
=== player 1: 81 | player 2: 5 | Draws: 0 ===
=== player 1: 82 | player 2: 5 | Draws: 0 ===
=== player 1: 82 | player 2: 6 | Draws: 0 ===
=== player 1: 83 | player 2: 6 | Draws: 0 ===
=== player 1: 84 | player 2: 6 | Draws: 0 ===
=== player 1: 85 | player 2: 6 | Draws: 0 ===
=== player 1: 86 | player 2: 6 | Draws: 0 ===
=== player 1: 87 | player 2: 6 | Draws: 0 ===
=== player 1: 88 | player 2: 6 | Draws: 0 ===
=== player 1: 89 | player 2: 6 | Draws: 0 ===
=== player 1: 90 | player 2: 6 | Draws: 0 ===
=== player 1: 91 | player 2: 6 | Draws: 0 ===
=== player 1: 92 | player 2: 6 | Draws: 0 ===
=== player 1: 93 | player 2: 6 | Draws: 0 ===
=== player 1: 94 | player 2: 6 | Draws: 0 ===
=== player 1: 95 | player 2: 6 | Draws: 0 ===
=== player 1: 96 | player 2: 6 | Draws: 0 ===
=== player 1: 97 | player 2: 6 | Draws: 0 ===
=== player 1: 97 | player 2: 7 | Draws: 0 ===
=== player 1: 98 | player 2: 7 | Draws: 0 ===
=== player 1: 99 | player 2: 7 | Draws: 0 ===
=== player 1: 100 | player 2: 7 | Draws: 0 ===
=== player 1: 101 | player 2: 7 | Draws: 0 ===
=== player 1: 102 | player 2: 7 | Draws: 0 ===
=== player 1: 103 | player 2: 7 | Draws: 0 ===
=== player 1: 104 | player 2: 7 | Draws: 0 ===
=== player 1: 105 | player 2: 7 | Draws: 0 ===
=== player 1: 106 | player 2: 7 | Draws: 0 ===
=== player 1: 107 | player 2: 7 | Draws: 0 ===
=== player 1: 108 | player 2: 7 | Draws: 0 ===
=== player 1: 109 | player 2: 7 | Draws: 0 ===
=== player 1: 110 | player 2: 7 | Draws: 0 ===
=== player 1: 111 | player 2: 7 | Draws: 0 ===
=== player 1: 112 | player 2: 7 | Draws: 0 ===
=== player 1: 113 | player 2: 7 | Draws: 0 ===
=== player 1: 114 | player 2: 7 | Draws: 0 ===
=== player 1: 115 | player 2: 7 | Draws: 0 ===
=== player 1: 116 | player 2: 7 | Draws: 0 ===
=== player 1: 117 | player 2: 7 | Draws: 0 ===
=== player 1: 118 | player 2: 7 | Draws: 0 ===
=== player 1: 119 | player 2: 7 | Draws: 0 ===
=== player 1: 120 | player 2: 7 | Draws: 0 ===
=== player 1: 121 | player 2: 7 | Draws: 0 ===
=== player 1: 122 | player 2: 7 | Draws: 0 ===
=== player 1: 123 | player 2: 7 | Draws: 0 ===
=== player 1: 124 | player 2: 7 | Draws: 0 ===
=== player 1: 125 | player 2: 7 | Draws: 0 ===
=== player 1: 126 | player 2: 7 | Draws: 0 ===
=== player 1: 127 | player 2: 7 | Draws: 0 ===
=== player 1: 128 | player 2: 7 | Draws: 0 ===
=== player 1: 129 | player 2: 7 | Draws: 0 ===
=== player 1: 130 | player 2: 7 | Draws: 0 ===
=== player 1: 131 | player 2: 7 | Draws: 0 ===
=== player 1: 132 | player 2: 7 | Draws: 0 ===
=== player 1: 133 | player 2: 7 | Draws: 0 ===
=== player 1: 134 | player 2: 7 | Draws: 0 ===
=== player 1: 135 | player 2: 7 | Draws: 0 ===
=== player 1: 135 | player 2: 8 | Draws: 0 ===
=== player 1: 136 | player 2: 8 | Draws: 0 ===
=== player 1: 137 | player 2: 8 | Draws: 0 ===
=== player 1: 138 | player 2: 8 | Draws: 0 ===
=== player 1: 139 | player 2: 8 | Draws: 0 ===
=== player 1: 140 | player 2: 8 | Draws: 0 ===
=== player 1: 141 | player 2: 8 | Draws: 0 ===
=== player 1: 142 | player 2: 8 | Draws: 0 ===
=== player 1: 143 | player 2: 8 | Draws: 0 ===
=== player 1: 144 | player 2: 8 | Draws: 0 ===
=== player 1: 145 | player 2: 8 | Draws: 0 ===
=== player 1: 146 | player 2: 8 | Draws: 0 ===
=== player 1: 146 | player 2: 9 | Draws: 0 ===
=== player 1: 147 | player 2: 9 | Draws: 0 ===
=== player 1: 148 | player 2: 9 | Draws: 0 ===
=== player 1: 149 | player 2: 9 | Draws: 0 ===
=== player 1: 150 | player 2: 9 | Draws: 0 ===
=== player 1: 151 | player 2: 9 | Draws: 0 ===
=== player 1: 152 | player 2: 9 | Draws: 0 ===
=== player 1: 153 | player 2: 9 | Draws: 0 ===
=== player 1: 153 | player 2: 10 | Draws: 0 ===
=== player 1: 154 | player 2: 10 | Draws: 0 ===
=== player 1: 155 | player 2: 10 | Draws: 0 ===
=== player 1: 155 | player 2: 11 | Draws: 0 ===
=== player 1: 156 | player 2: 11 | Draws: 0 ===
=== player 1: 157 | player 2: 11 | Draws: 0 ===
=== player 1: 158 | player 2: 11 | Draws: 0 ===
=== player 1: 159 | player 2: 11 | Draws: 0 ===
=== player 1: 160 | player 2: 11 | Draws: 0 ===
=== player 1: 161 | player 2: 11 | Draws: 0 ===
=== player 1: 162 | player 2: 11 | Draws: 0 ===
=== player 1: 163 | player 2: 11 | Draws: 0 ===
=== player 1: 164 | player 2: 11 | Draws: 0 ===
=== player 1: 165 | player 2: 11 | Draws: 0 ===
=== player 1: 166 | player 2: 11 | Draws: 0 ===
=== player 1: 167 | player 2: 11 | Draws: 0 ===
=== player 1: 168 | player 2: 11 | Draws: 0 ===
=== player 1: 169 | player 2: 11 | Draws: 0 ===
=== player 1: 170 | player 2: 11 | Draws: 0 ===
=== player 1: 171 | player 2: 11 | Draws: 0 ===
=== player 1: 172 | player 2: 11 | Draws: 0 ===
=== player 1: 173 | player 2: 11 | Draws: 0 ===
=== player 1: 174 | player 2: 11 | Draws: 0 ===
=== player 1: 175 | player 2: 11 | Draws: 0 ===
=== player 1: 175 | player 2: 12 | Draws: 0 ===
=== player 1: 176 | player 2: 12 | Draws: 0 ===
=== player 1: 177 | player 2: 12 | Draws: 0 ===
=== player 1: 178 | player 2: 12 | Draws: 0 ===
=== player 1: 179 | player 2: 12 | Draws: 0 ===
=== player 1: 180 | player 2: 12 | Draws: 0 ===
=== player 1: 181 | player 2: 12 | Draws: 0 ===
=== player 1: 182 | player 2: 12 | Draws: 0 ===
=== player 1: 183 | player 2: 12 | Draws: 0 ===
=== player 1: 184 | player 2: 12 | Draws: 0 ===
=== player 1: 185 | player 2: 12 | Draws: 0 ===
=== player 1: 186 | player 2: 12 | Draws: 0 ===
=== player 1: 187 | player 2: 12 | Draws: 0 ===
=== player 1: 188 | player 2: 12 | Draws: 0 ===
=== player 1: 189 | player 2: 12 | Draws: 0 ===
=== player 1: 190 | player 2: 12 | Draws: 0 ===
=== player 1: 191 | player 2: 12 | Draws: 0 ===
=== player 1: 192 | player 2: 12 | Draws: 0 ===
=== player 1: 193 | player 2: 12 | Draws: 0 ===
=== player 1: 194 | player 2: 12 | Draws: 0 ===
=== player 1: 195 | player 2: 12 | Draws: 0 ===
=== player 1: 196 | player 2: 12 | Draws: 0 ===
=== player 1: 197 | player 2: 12 | Draws: 0 ===
=== player 1: 198 | player 2: 12 | Draws: 0 ===
=== player 1: 199 | player 2: 12 | Draws: 0 ===
=== player 1: 200 | player 2: 12 | Draws: 0 ===
=== player 1: 201 | player 2: 12 | Draws: 0 ===
=== player 1: 202 | player 2: 12 | Draws: 0 ===
=== player 1: 203 | player 2: 12 | Draws: 0 ===
=== player 1: 204 | player 2: 12 | Draws: 0 ===
=== player 1: 205 | player 2: 12 | Draws: 0 ===
=== player 1: 205 | player 2: 13 | Draws: 0 ===
=== player 1: 206 | player 2: 13 | Draws: 0 ===
=== player 1: 207 | player 2: 13 | Draws: 0 ===
=== player 1: 208 | player 2: 13 | Draws: 0 ===
=== player 1: 209 | player 2: 13 | Draws: 0 ===
=== player 1: 210 | player 2: 13 | Draws: 0 ===
=== player 1: 211 | player 2: 13 | Draws: 0 ===
=== player 1: 212 | player 2: 13 | Draws: 0 ===
=== player 1: 213 | player 2: 13 | Draws: 0 ===
=== player 1: 214 | player 2: 13 | Draws: 0 ===
=== player 1: 215 | player 2: 13 | Draws: 0 ===
=== player 1: 216 | player 2: 13 | Draws: 0 ===
=== player 1: 217 | player 2: 13 | Draws: 0 ===
=== player 1: 218 | player 2: 13 | Draws: 0 ===
=== player 1: 219 | player 2: 13 | Draws: 0 ===
=== player 1: 220 | player 2: 13 | Draws: 0 ===
=== player 1: 221 | player 2: 13 | Draws: 0 ===
=== player 1: 222 | player 2: 13 | Draws: 0 ===
=== player 1: 222 | player 2: 14 | Draws: 0 ===
=== player 1: 223 | player 2: 14 | Draws: 0 ===
=== player 1: 224 | player 2: 14 | Draws: 0 ===
=== player 1: 225 | player 2: 14 | Draws: 0 ===
=== player 1: 226 | player 2: 14 | Draws: 0 ===
=== player 1: 227 | player 2: 14 | Draws: 0 ===
=== player 1: 228 | player 2: 14 | Draws: 0 ===
=== player 1: 229 | player 2: 14 | Draws: 0 ===
=== player 1: 230 | player 2: 14 | Draws: 0 ===
=== player 1: 231 | player 2: 14 | Draws: 0 ===
=== player 1: 232 | player 2: 14 | Draws: 0 ===
=== player 1: 233 | player 2: 14 | Draws: 0 ===
=== player 1: 234 | player 2: 14 | Draws: 0 ===
=== player 1: 235 | player 2: 14 | Draws: 0 ===
=== player 1: 236 | player 2: 14 | Draws: 0 ===
=== player 1: 237 | player 2: 14 | Draws: 0 ===
=== player 1: 238 | player 2: 14 | Draws: 0 ===
=== player 1: 239 | player 2: 14 | Draws: 0 ===
=== player 1: 240 | player 2: 14 | Draws: 0 ===
=== player 1: 241 | player 2: 14 | Draws: 0 ===
=== player 1: 242 | player 2: 14 | Draws: 0 ===
=== player 1: 243 | player 2: 14 | Draws: 0 ===
=== player 1: 244 | player 2: 14 | Draws: 0 ===
=== player 1: 245 | player 2: 14 | Draws: 0 ===
=== player 1: 246 | player 2: 14 | Draws: 0 ===
=== player 1: 247 | player 2: 14 | Draws: 0 ===
=== player 1: 248 | player 2: 14 | Draws: 0 ===
=== player 1: 249 | player 2: 14 | Draws: 0 ===
=== player 1: 250 | player 2: 14 | Draws: 0 ===
=== player 1: 251 | player 2: 14 | Draws: 0 ===
=== player 1: 252 | player 2: 14 | Draws: 0 ===
=== player 1: 253 | player 2: 14 | Draws: 0 ===
=== player 1: 254 | player 2: 14 | Draws: 0 ===
=== player 1: 255 | player 2: 14 | Draws: 0 ===
=== player 1: 256 | player 2: 14 | Draws: 0 ===
=== player 1: 257 | player 2: 14 | Draws: 0 ===
=== player 1: 257 | player 2: 15 | Draws: 0 ===
=== player 1: 258 | player 2: 15 | Draws: 0 ===
=== player 1: 259 | player 2: 15 | Draws: 0 ===
=== player 1: 260 | player 2: 15 | Draws: 0 ===
=== player 1: 261 | player 2: 15 | Draws: 0 ===
=== player 1: 262 | player 2: 15 | Draws: 0 ===
=== player 1: 263 | player 2: 15 | Draws: 0 ===
=== player 1: 264 | player 2: 15 | Draws: 0 ===
=== player 1: 265 | player 2: 15 | Draws: 0 ===
=== player 1: 266 | player 2: 15 | Draws: 0 ===
=== player 1: 267 | player 2: 15 | Draws: 0 ===
=== player 1: 268 | player 2: 15 | Draws: 0 ===
=== player 1: 269 | player 2: 15 | Draws: 0 ===
=== player 1: 270 | player 2: 15 | Draws: 0 ===
=== player 1: 271 | player 2: 15 | Draws: 0 ===
=== player 1: 271 | player 2: 16 | Draws: 0 ===
=== player 1: 272 | player 2: 16 | Draws: 0 ===
=== player 1: 273 | player 2: 16 | Draws: 0 ===
=== player 1: 274 | player 2: 16 | Draws: 0 ===
=== player 1: 275 | player 2: 16 | Draws: 0 ===
=== player 1: 276 | player 2: 16 | Draws: 0 ===
=== player 1: 277 | player 2: 16 | Draws: 0 ===
=== player 1: 278 | player 2: 16 | Draws: 0 ===
=== player 1: 279 | player 2: 16 | Draws: 0 ===
=== player 1: 280 | player 2: 16 | Draws: 0 ===
=== player 1: 281 | player 2: 16 | Draws: 0 ===
=== player 1: 282 | player 2: 16 | Draws: 0 ===
=== player 1: 283 | player 2: 16 | Draws: 0 ===
=== player 1: 284 | player 2: 16 | Draws: 0 ===
=== player 1: 285 | player 2: 16 | Draws: 0 ===
=== player 1: 286 | player 2: 16 | Draws: 0 ===
=== player 1: 287 | player 2: 16 | Draws: 0 ===
=== player 1: 287 | player 2: 17 | Draws: 0 ===
=== player 1: 288 | player 2: 17 | Draws: 0 ===
=== player 1: 288 | player 2: 18 | Draws: 0 ===
=== player 1: 289 | player 2: 18 | Draws: 0 ===
=== player 1: 290 | player 2: 18 | Draws: 0 ===
=== player 1: 291 | player 2: 18 | Draws: 0 ===
=== player 1: 292 | player 2: 18 | Draws: 0 ===
=== player 1: 293 | player 2: 18 | Draws: 0 ===
=== player 1: 294 | player 2: 18 | Draws: 0 ===
=== player 1: 295 | player 2: 18 | Draws: 0 ===
=== player 1: 296 | player 2: 18 | Draws: 0 ===
=== player 1: 297 | player 2: 18 | Draws: 0 ===
=== player 1: 297 | player 2: 19 | Draws: 0 ===
=== player 1: 298 | player 2: 19 | Draws: 0 ===
=== player 1: 298 | player 2: 20 | Draws: 0 ===
=== player 1: 299 | player 2: 20 | Draws: 0 ===
=== player 1: 300 | player 2: 20 | Draws: 0 ===
=== player 1: 301 | player 2: 20 | Draws: 0 ===
=== player 1: 302 | player 2: 20 | Draws: 0 ===
=== player 1: 303 | player 2: 20 | Draws: 0 ===
=== player 1: 303 | player 2: 21 | Draws: 0 ===
=== player 1: 304 | player 2: 21 | Draws: 0 ===
=== player 1: 305 | player 2: 21 | Draws: 0 ===
=== player 1: 306 | player 2: 21 | Draws: 0 ===
=== player 1: 307 | player 2: 21 | Draws: 0 ===
=== player 1: 308 | player 2: 21 | Draws: 0 ===
=== player 1: 309 | player 2: 21 | Draws: 0 ===
=== player 1: 310 | player 2: 21 | Draws: 0 ===
=== player 1: 310 | player 2: 22 | Draws: 0 ===
=== player 1: 311 | player 2: 22 | Draws: 0 ===
=== player 1: 312 | player 2: 22 | Draws: 0 ===
=== player 1: 313 | player 2: 22 | Draws: 0 ===
=== player 1: 314 | player 2: 22 | Draws: 0 ===
=== player 1: 315 | player 2: 22 | Draws: 0 ===
=== player 1: 316 | player 2: 22 | Draws: 0 ===
=== player 1: 317 | player 2: 22 | Draws: 0 ===
=== player 1: 317 | player 2: 23 | Draws: 0 ===
=== player 1: 318 | player 2: 23 | Draws: 0 ===
=== player 1: 318 | player 2: 24 | Draws: 0 ===
=== player 1: 319 | player 2: 24 | Draws: 0 ===
=== player 1: 320 | player 2: 24 | Draws: 0 ===
=== player 1: 321 | player 2: 24 | Draws: 0 ===
=== player 1: 322 | player 2: 24 | Draws: 0 ===
=== player 1: 323 | player 2: 24 | Draws: 0 ===
=== player 1: 324 | player 2: 24 | Draws: 0 ===
=== player 1: 324 | player 2: 25 | Draws: 0 ===
=== player 1: 325 | player 2: 25 | Draws: 0 ===
=== player 1: 326 | player 2: 25 | Draws: 0 ===
=== player 1: 327 | player 2: 25 | Draws: 0 ===
=== player 1: 328 | player 2: 25 | Draws: 0 ===
=== player 1: 329 | player 2: 25 | Draws: 0 ===
=== player 1: 330 | player 2: 25 | Draws: 0 ===
=== player 1: 331 | player 2: 25 | Draws: 0 ===
=== player 1: 332 | player 2: 25 | Draws: 0 ===
=== player 1: 333 | player 2: 25 | Draws: 0 ===
=== player 1: 334 | player 2: 25 | Draws: 0 ===
=== player 1: 335 | player 2: 25 | Draws: 0 ===
=== player 1: 336 | player 2: 25 | Draws: 0 ===
=== player 1: 337 | player 2: 25 | Draws: 0 ===
=== player 1: 338 | player 2: 25 | Draws: 0 ===
=== player 1: 339 | player 2: 25 | Draws: 0 ===
=== player 1: 340 | player 2: 25 | Draws: 0 ===
=== player 1: 341 | player 2: 25 | Draws: 0 ===
=== player 1: 342 | player 2: 25 | Draws: 0 ===
=== player 1: 343 | player 2: 25 | Draws: 0 ===
=== player 1: 344 | player 2: 25 | Draws: 0 ===
=== player 1: 345 | player 2: 25 | Draws: 0 ===
=== player 1: 346 | player 2: 25 | Draws: 0 ===
=== player 1: 347 | player 2: 25 | Draws: 0 ===
=== player 1: 347 | player 2: 26 | Draws: 0 ===
=== player 1: 348 | player 2: 26 | Draws: 0 ===
=== player 1: 348 | player 2: 27 | Draws: 0 ===
=== player 1: 349 | player 2: 27 | Draws: 0 ===
=== player 1: 350 | player 2: 27 | Draws: 0 ===
=== player 1: 350 | player 2: 28 | Draws: 0 ===
=== player 1: 351 | player 2: 28 | Draws: 0 ===
=== player 1: 352 | player 2: 28 | Draws: 0 ===
=== player 1: 353 | player 2: 28 | Draws: 0 ===
=== player 1: 354 | player 2: 28 | Draws: 0 ===
=== player 1: 355 | player 2: 28 | Draws: 0 ===
=== player 1: 356 | player 2: 28 | Draws: 0 ===
=== player 1: 357 | player 2: 28 | Draws: 0 ===
=== player 1: 358 | player 2: 28 | Draws: 0 ===
=== player 1: 359 | player 2: 28 | Draws: 0 ===
=== player 1: 360 | player 2: 28 | Draws: 0 ===
=== player 1: 361 | player 2: 28 | Draws: 0 ===
=== player 1: 362 | player 2: 28 | Draws: 0 ===
=== player 1: 363 | player 2: 28 | Draws: 0 ===
=== player 1: 364 | player 2: 28 | Draws: 0 ===
=== player 1: 365 | player 2: 28 | Draws: 0 ===
=== player 1: 366 | player 2: 28 | Draws: 0 ===
=== player 1: 367 | player 2: 28 | Draws: 0 ===
=== player 1: 368 | player 2: 28 | Draws: 0 ===
=== player 1: 369 | player 2: 28 | Draws: 0 ===
=== player 1: 370 | player 2: 28 | Draws: 0 ===
=== player 1: 371 | player 2: 28 | Draws: 0 ===
=== player 1: 372 | player 2: 28 | Draws: 0 ===
=== player 1: 373 | player 2: 28 | Draws: 0 ===
=== player 1: 374 | player 2: 28 | Draws: 0 ===
=== player 1: 375 | player 2: 28 | Draws: 0 ===
=== player 1: 376 | player 2: 28 | Draws: 0 ===
=== player 1: 377 | player 2: 28 | Draws: 0 ===
=== player 1: 378 | player 2: 28 | Draws: 0 ===
=== player 1: 379 | player 2: 28 | Draws: 0 ===
=== player 1: 380 | player 2: 28 | Draws: 0 ===
=== player 1: 381 | player 2: 28 | Draws: 0 ===
=== player 1: 382 | player 2: 28 | Draws: 0 ===
=== player 1: 383 | player 2: 28 | Draws: 0 ===
=== player 1: 384 | player 2: 28 | Draws: 0 ===
=== player 1: 385 | player 2: 28 | Draws: 0 ===
=== player 1: 386 | player 2: 28 | Draws: 0 ===
=== player 1: 387 | player 2: 28 | Draws: 0 ===
=== player 1: 388 | player 2: 28 | Draws: 0 ===
=== player 1: 389 | player 2: 28 | Draws: 0 ===
=== player 1: 390 | player 2: 28 | Draws: 0 ===
=== player 1: 391 | player 2: 28 | Draws: 0 ===
=== player 1: 392 | player 2: 28 | Draws: 0 ===
=== player 1: 393 | player 2: 28 | Draws: 0 ===
=== player 1: 394 | player 2: 28 | Draws: 0 ===
=== player 1: 395 | player 2: 28 | Draws: 0 ===
=== player 1: 396 | player 2: 28 | Draws: 0 ===
=== player 1: 397 | player 2: 28 | Draws: 0 ===
=== player 1: 397 | player 2: 29 | Draws: 0 ===
=== player 1: 398 | player 2: 29 | Draws: 0 ===
=== player 1: 399 | player 2: 29 | Draws: 0 ===
=== player 1: 400 | player 2: 29 | Draws: 0 ===
=== player 1: 400 | player 2: 30 | Draws: 0 ===
=== player 1: 401 | player 2: 30 | Draws: 0 ===
=== player 1: 402 | player 2: 30 | Draws: 0 ===
=== player 1: 403 | player 2: 30 | Draws: 0 ===
=== player 1: 404 | player 2: 30 | Draws: 0 ===
=== player 1: 405 | player 2: 30 | Draws: 0 ===
=== player 1: 406 | player 2: 30 | Draws: 0 ===
=== player 1: 407 | player 2: 30 | Draws: 0 ===
=== player 1: 408 | player 2: 30 | Draws: 0 ===
=== player 1: 409 | player 2: 30 | Draws: 0 ===
=== player 1: 410 | player 2: 30 | Draws: 0 ===
=== player 1: 411 | player 2: 30 | Draws: 0 ===
=== player 1: 412 | player 2: 30 | Draws: 0 ===
=== player 1: 413 | player 2: 30 | Draws: 0 ===
=== player 1: 413 | player 2: 31 | Draws: 0 ===
=== player 1: 414 | player 2: 31 | Draws: 0 ===
=== player 1: 415 | player 2: 31 | Draws: 0 ===
=== player 1: 416 | player 2: 31 | Draws: 0 ===
=== player 1: 417 | player 2: 31 | Draws: 0 ===
=== player 1: 418 | player 2: 31 | Draws: 0 ===
=== player 1: 419 | player 2: 31 | Draws: 0 ===
=== player 1: 419 | player 2: 32 | Draws: 0 ===
=== player 1: 420 | player 2: 32 | Draws: 0 ===
=== player 1: 421 | player 2: 32 | Draws: 0 ===
=== player 1: 422 | player 2: 32 | Draws: 0 ===
=== player 1: 423 | player 2: 32 | Draws: 0 ===
=== player 1: 424 | player 2: 32 | Draws: 0 ===
=== player 1: 424 | player 2: 33 | Draws: 0 ===
=== player 1: 425 | player 2: 33 | Draws: 0 ===
=== player 1: 426 | player 2: 33 | Draws: 0 ===
=== player 1: 427 | player 2: 33 | Draws: 0 ===
=== player 1: 428 | player 2: 33 | Draws: 0 ===
=== player 1: 428 | player 2: 34 | Draws: 0 ===
=== player 1: 429 | player 2: 34 | Draws: 0 ===
=== player 1: 430 | player 2: 34 | Draws: 0 ===
=== player 1: 431 | player 2: 34 | Draws: 0 ===
=== player 1: 432 | player 2: 34 | Draws: 0 ===
=== player 1: 433 | player 2: 34 | Draws: 0 ===
=== player 1: 434 | player 2: 34 | Draws: 0 ===
=== player 1: 435 | player 2: 34 | Draws: 0 ===
=== player 1: 435 | player 2: 35 | Draws: 0 ===
=== player 1: 436 | player 2: 35 | Draws: 0 ===
=== player 1: 437 | player 2: 35 | Draws: 0 ===
=== player 1: 438 | player 2: 35 | Draws: 0 ===
=== player 1: 439 | player 2: 35 | Draws: 0 ===
=== player 1: 440 | player 2: 35 | Draws: 0 ===
=== player 1: 441 | player 2: 35 | Draws: 0 ===
=== player 1: 442 | player 2: 35 | Draws: 0 ===
=== player 1: 443 | player 2: 35 | Draws: 0 ===
=== player 1: 444 | player 2: 35 | Draws: 0 ===
=== player 1: 445 | player 2: 35 | Draws: 0 ===
=== player 1: 446 | player 2: 35 | Draws: 0 ===
=== player 1: 447 | player 2: 35 | Draws: 0 ===
=== player 1: 448 | player 2: 35 | Draws: 0 ===
=== player 1: 449 | player 2: 35 | Draws: 0 ===
=== player 1: 449 | player 2: 36 | Draws: 0 ===
=== player 1: 450 | player 2: 36 | Draws: 0 ===
=== player 1: 451 | player 2: 36 | Draws: 0 ===
=== player 1: 452 | player 2: 36 | Draws: 0 ===
=== player 1: 453 | player 2: 36 | Draws: 0 ===
=== player 1: 454 | player 2: 36 | Draws: 0 ===
=== player 1: 455 | player 2: 36 | Draws: 0 ===
=== player 1: 456 | player 2: 36 | Draws: 0 ===
=== player 1: 457 | player 2: 36 | Draws: 0 ===
=== player 1: 458 | player 2: 36 | Draws: 0 ===
=== player 1: 459 | player 2: 36 | Draws: 0 ===
=== player 1: 459 | player 2: 37 | Draws: 0 ===
=== player 1: 460 | player 2: 37 | Draws: 0 ===
=== player 1: 461 | player 2: 37 | Draws: 0 ===
=== player 1: 462 | player 2: 37 | Draws: 0 ===
=== player 1: 463 | player 2: 37 | Draws: 0 ===
=== player 1: 464 | player 2: 37 | Draws: 0 ===
